pair_key,workplace_id,workplace_nombre,work_lat,work_lon,property_id,prop_ids,prop_lat,prop_lon,prop_district,modo,franja,depart_at,dia_semana,hora,osrm_dist_km,osrm_min,osrm_status,work_dist_centro_km,prop_dist_centro_km,hacia_el_centro,tt_dist_km,tt_min,tt_sin_trafico_min,tt_historico_min,tt_demora_min,tt_status
"-12.0961,-77.0264|-12.0839,-77.0283|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,913,913,-12.0839,-77.0283,Lince,cycling,valle,2026-09-01T13:00:00-05:00,1,13,1.808,9.09,ok,5.807,4.458,0,1.801,6.63,6.63,6.63,0.0,ok
"-12.0961,-77.0264|-12.0839,-77.0283|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,913,913,-12.0839,-77.0283,Lince,walking,valle,2026-09-01T13:00:00-05:00,1,13,1.514,18.24,ok,5.807,4.458,0,1.493,17.92,17.92,17.92,0.0,ok
"-12.0961,-77.0264|-12.1168,-77.0275|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1109,1109,-12.1168,-77.0275,Miraflores,cycling,valle,2026-09-01T13:00:00-05:00,1,13,2.525,11.0,ok,5.807,8.003,1,2.524,7.57,7.57,7.57,0.0,ok
"-12.0961,-77.0264|-12.1168,-77.0275|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1109,1109,-12.1168,-77.0275,Miraflores,walking,valle,2026-09-01T13:00:00-05:00,1,13,2.458,29.63,ok,5.807,8.003,1,2.44,29.28,29.28,29.28,0.0,ok
"-12.0961,-77.0264|-12.1177,-77.0275|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1078,1078,-12.1177,-77.0275,Miraflores,cycling,valle,2026-09-01T13:00:00-05:00,1,13,2.609,11.44,ok,5.807,8.101,1,2.595,7.87,7.87,7.87,0.0,ok
"-12.0961,-77.0264|-12.1177,-77.0275|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1078,1078,-12.1177,-77.0275,Miraflores,walking,valle,2026-09-01T13:00:00-05:00,1,13,2.543,30.65,ok,5.807,8.101,1,2.539,30.47,30.47,30.47,0.0,ok
"-12.0961,-77.0264|-12.0997,-77.0426|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,850,850,-12.0997,-77.0426,San Isidro,cycling,valle,2026-09-01T13:00:00-05:00,1,13,2.122,8.84,ok,5.807,5.927,1,2.111,6.48,6.48,6.48,0.0,ok
"-12.0961,-77.0264|-12.0997,-77.0426|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,850,850,-12.0997,-77.0426,San Isidro,walking,valle,2026-09-01T13:00:00-05:00,1,13,2.068,24.98,ok,5.807,5.927,1,2.072,24.87,24.87,24.87,0.0,ok
"-12.0961,-77.0264|-12.0928,-77.0269|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,667,667;728;848,-12.0928,-77.0269,San Isidro,cycling,valle,2026-09-01T13:00:00-05:00,1,13,0.425,2.4,ok,5.807,5.441,0,0.79,2.83,2.83,2.83,0.0,ok
"-12.0961,-77.0264|-12.0928,-77.0269|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,667,667;728;848,-12.0928,-77.0269,San Isidro,walking,valle,2026-09-01T13:00:00-05:00,1,13,0.415,5.01,ok,5.807,5.441,0,0.369,4.43,4.43,4.43,0.0,ok
"-12.0961,-77.0264|-12.119,-77.0366|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,238,238;467;495;1142;1408,-12.119,-77.0366,Miraflores,cycling,valle,2026-09-01T13:00:00-05:00,1,13,3.433,14.77,ok,5.807,8.101,1,3.32,10.72,10.72,10.72,0.0,ok
"-12.0961,-77.0264|-12.119,-77.0366|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,238,238;467;495;1142;1408,-12.119,-77.0366,Miraflores,walking,valle,2026-09-01T13:00:00-05:00,1,13,3.255,39.35,ok,5.807,8.101,1,3.236,38.83,38.83,38.83,0.0,ok
"-12.0961,-77.0264|-12.1484,-77.0098|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,9,9,-12.1484,-77.0098,Santiago de Surco,cycling,valle,2026-09-01T13:00:00-05:00,1,13,6.861,29.62,ok,5.807,11.896,1,6.596,20.33,20.33,20.33,0.0,ok
"-12.0961,-77.0264|-12.1484,-77.0098|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,9,9,-12.1484,-77.0098,Santiago de Surco,walking,valle,2026-09-01T13:00:00-05:00,1,13,6.601,79.67,ok,5.807,11.896,1,6.576,78.9,78.9,78.9,0.0,ok
"-12.0961,-77.0264|-12.0784,-77.0566|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,893,893;952;1128,-12.0784,-77.0566,Pueblo Libre,cycling,valle,2026-09-01T13:00:00-05:00,1,13,5.047,23.26,ok,5.807,3.862,0,4.998,15.92,15.92,15.92,0.0,ok
"-12.0961,-77.0264|-12.0784,-77.0566|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,893,893;952;1128,-12.0784,-77.0566,Pueblo Libre,walking,valle,2026-09-01T13:00:00-05:00,1,13,4.737,57.19,ok,5.807,3.862,0,4.754,57.05,57.05,57.05,0.0,ok
"-12.0961,-77.0264|-12.1142,-76.9876|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,869,869,-12.1142,-76.9876,Santiago de Surco,cycling,valle,2026-09-01T13:00:00-05:00,1,13,5.683,24.57,ok,5.807,9.636,1,5.661,17.2,17.2,17.2,0.0,ok
"-12.0961,-77.0264|-12.1142,-76.9876|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,869,869,-12.1142,-76.9876,Santiago de Surco,walking,valle,2026-09-01T13:00:00-05:00,1,13,5.509,66.54,ok,5.807,9.636,1,5.5,66.0,66.0,66.0,0.0,ok
"-12.0961,-77.0264|-12.1286,-77.0147|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,870,870,-12.1286,-77.0147,Miraflores,cycling,valle,2026-09-01T13:00:00-05:00,1,13,4.649,20.59,ok,5.807,9.637,1,4.646,14.37,14.37,14.37,0.0,ok
"-12.0961,-77.0264|-12.1286,-77.0147|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,870,870,-12.1286,-77.0147,Miraflores,walking,valle,2026-09-01T13:00:00-05:00,1,13,4.509,54.37,ok,5.807,9.637,1,4.504,54.05,54.05,54.05,0.0,ok
"-12.0961,-77.0264|-12.1032,-76.9471|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,32,32,-12.1032,-76.9471,La Molina,cycling,valle,2026-09-01T13:00:00-05:00,1,13,14.785,66.06,ok,5.807,12.173,1,11.524,34.75,34.75,34.75,0.0,ok
"-12.0961,-77.0264|-12.1032,-76.9471|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,32,32,-12.1032,-76.9471,La Molina,walking,valle,2026-09-01T13:00:00-05:00,1,13,11.239,135.3,ok,5.807,12.173,1,11.19,134.28,134.28,134.28,0.0,ok
"-12.0961,-77.0264|-12.0883,-77.0596|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1292,1292,-12.0883,-77.0596,Jesús María,cycling,valle,2026-09-01T13:00:00-05:00,1,13,4.181,19.35,ok,5.807,5.004,0,4.188,13.18,13.18,13.18,0.0,ok
"-12.0961,-77.0264|-12.0883,-77.0596|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1292,1292,-12.0883,-77.0596,Jesús María,walking,valle,2026-09-01T13:00:00-05:00,1,13,4.172,50.43,ok,5.807,5.004,0,4.18,50.17,50.17,50.17,0.0,ok
"-12.0961,-77.0264|-12.0723,-77.0452|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,50,50,-12.0723,-77.0452,Jesús María,cycling,valle,2026-09-01T13:00:00-05:00,1,13,4.519,18.96,ok,5.807,2.892,0,4.476,13.7,13.7,13.7,0.0,ok
"-12.0961,-77.0264|-12.0723,-77.0452|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,50,50,-12.0723,-77.0452,Jesús María,walking,valle,2026-09-01T13:00:00-05:00,1,13,4.201,50.84,ok,5.807,2.892,0,4.288,51.45,51.45,51.45,0.0,ok
"-12.0961,-77.0264|-12.1267,-77.0338|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1278,1278;1330,-12.1267,-77.0338,Miraflores,cycling,valle,2026-09-01T13:00:00-05:00,1,13,4.025,17.8,ok,5.807,8.982,1,3.96,11.95,11.95,11.95,0.0,ok
"-12.0961,-77.0264|-12.1267,-77.0338|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1278,1278;1330,-12.1267,-77.0338,Miraflores,walking,valle,2026-09-01T13:00:00-05:00,1,13,3.847,46.53,ok,5.807,8.982,1,3.809,45.7,45.7,45.7,0.0,ok
"-12.0961,-77.0264|-12.1162,-77.0474|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,136,136,-12.1162,-77.0474,Miraflores,cycling,valle,2026-09-01T13:00:00-05:00,1,13,3.811,16.72,ok,5.807,7.778,1,3.797,11.87,11.87,11.87,0.0,ok
"-12.0961,-77.0264|-12.1162,-77.0474|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,136,136,-12.1162,-77.0474,Miraflores,walking,valle,2026-09-01T13:00:00-05:00,1,13,3.736,44.96,ok,5.807,7.778,1,3.778,45.33,45.33,45.33,0.0,ok
"-12.0961,-77.0264|-12.1106,-77.0381|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,205,205,-12.1106,-77.0381,Miraflores,cycling,valle,2026-09-01T13:00:00-05:00,1,13,2.509,10.85,ok,5.807,7.157,1,2.494,7.83,7.83,7.83,0.0,ok
"-12.0961,-77.0264|-12.1106,-77.0381|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,205,205,-12.1106,-77.0381,Miraflores,walking,valle,2026-09-01T13:00:00-05:00,1,13,2.439,29.39,ok,5.807,7.157,1,2.469,29.62,29.62,29.62,0.0,ok
"-12.0961,-77.0264|-12.0779,-76.9972|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,65,65,-12.0779,-76.9972,San Luis,cycling,valle,2026-09-01T13:00:00-05:00,1,13,4.869,21.75,ok,5.807,6.071,1,4.558,13.97,13.97,13.97,0.0,ok
"-12.0961,-77.0264|-12.0779,-76.9972|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,65,65,-12.0779,-76.9972,San Luis,walking,valle,2026-09-01T13:00:00-05:00,1,13,4.386,52.71,ok,5.807,6.071,1,4.526,54.32,54.32,54.32,0.0,ok
"-12.0961,-77.0264|-12.0767,-77.0683|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,485,485,-12.0767,-77.0683,Pueblo Libre,cycling,valle,2026-09-01T13:00:00-05:00,1,13,6.219,27.81,ok,5.807,4.364,0,6.227,19.33,19.33,19.33,0.0,ok
"-12.0961,-77.0264|-12.0767,-77.0683|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,485,485,-12.0767,-77.0683,Pueblo Libre,walking,valle,2026-09-01T13:00:00-05:00,1,13,6.026,72.79,ok,5.807,4.364,0,6.029,72.35,72.35,72.35,0.0,ok
"-12.0961,-77.0264|-12.114,-76.9808|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,588,588,-12.114,-76.9808,Santiago de Surco,cycling,valle,2026-09-01T13:00:00-05:00,1,13,6.491,28.2,ok,5.807,10.097,1,6.481,19.95,19.95,19.95,0.0,ok
"-12.0961,-77.0264|-12.114,-76.9808|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,588,588,-12.114,-76.9808,Santiago de Surco,walking,valle,2026-09-01T13:00:00-05:00,1,13,6.317,76.23,ok,5.807,10.097,1,6.401,76.82,76.82,76.82,0.0,ok
"-12.0961,-77.0264|-12.0961,-77.0547|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,261,261;282,-12.0961,-77.0547,San Isidro,cycling,valle,2026-09-01T13:00:00-05:00,1,13,3.47,15.25,ok,5.807,5.676,0,3.483,11.0,11.0,11.0,0.0,ok
"-12.0961,-77.0264|-12.0961,-77.0547|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,261,261;282,-12.0961,-77.0547,San Isidro,walking,valle,2026-09-01T13:00:00-05:00,1,13,3.257,39.42,ok,5.807,5.676,0,3.404,40.85,40.85,40.85,0.0,ok
"-12.0961,-77.0264|-12.1056,-77.0187|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1070,1070,-12.1056,-77.0187,Miraflores,cycling,valle,2026-09-01T13:00:00-05:00,1,13,1.635,7.5,ok,5.807,7.085,1,1.611,4.87,4.87,4.87,0.0,ok
"-12.0961,-77.0264|-12.1056,-77.0187|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1070,1070,-12.1056,-77.0187,Miraflores,walking,valle,2026-09-01T13:00:00-05:00,1,13,1.633,19.83,ok,5.807,7.085,1,1.611,19.33,19.33,19.33,0.0,ok
"-12.0961,-77.0264|-12.1117,-76.9829|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,971,971;1324,-12.1117,-76.9829,Santiago de Surco,cycling,valle,2026-09-01T13:00:00-05:00,1,13,5.961,25.87,ok,5.807,9.754,1,5.93,17.92,17.92,17.92,0.0,ok
"-12.0961,-77.0264|-12.1117,-76.9829|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,971,971;1324,-12.1117,-76.9829,Santiago de Surco,walking,valle,2026-09-01T13:00:00-05:00,1,13,5.861,70.73,ok,5.807,9.754,1,5.849,70.18,70.18,70.18,0.0,ok
"-12.0961,-77.0264|-12.097,-77.0513|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,33,33,-12.097,-77.0513,San Isidro,cycling,valle,2026-09-01T13:00:00-05:00,1,13,3.153,13.35,ok,5.807,5.702,0,3.199,9.92,9.92,9.92,0.0,ok
"-12.0961,-77.0264|-12.097,-77.0513|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,33,33,-12.097,-77.0513,San Isidro,walking,valle,2026-09-01T13:00:00-05:00,1,13,2.981,36.12,ok,5.807,5.702,0,2.97,35.63,35.63,35.63,0.0,ok
"-12.0961,-77.0264|-12.0914,-77.0559|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,346,346;796,-12.0914,-77.0559,Magdalena del Mar,cycling,valle,2026-09-01T13:00:00-05:00,1,13,3.623,16.61,ok,5.807,5.203,0,3.624,12.0,12.0,12.0,0.0,ok
"-12.0961,-77.0264|-12.0914,-77.0559|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,346,346;796,-12.0914,-77.0559,Magdalena del Mar,walking,valle,2026-09-01T13:00:00-05:00,1,13,3.583,43.33,ok,5.807,5.203,0,3.601,43.22,43.22,43.22,0.0,ok
"-12.0961,-77.0264|-12.1197,-77.0381|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,303,303,-12.1197,-77.0381,Miraflores,cycling,valle,2026-09-01T13:00:00-05:00,1,13,3.445,14.76,ok,5.807,8.167,1,3.418,10.63,10.63,10.63,0.0,ok
"-12.0961,-77.0264|-12.1197,-77.0381|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,303,303,-12.1197,-77.0381,Miraflores,walking,valle,2026-09-01T13:00:00-05:00,1,13,3.36,40.54,ok,5.807,8.167,1,3.358,40.3,40.3,40.3,0.0,ok
"-12.0961,-77.0264|-12.1201,-76.9767|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1133,1133,-12.1201,-76.9767,Santiago de Surco,cycling,valle,2026-09-01T13:00:00-05:00,1,13,7.834,33.46,ok,5.807,10.9,1,7.798,23.85,23.85,23.85,0.0,ok
"-12.0961,-77.0264|-12.1201,-76.9767|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1133,1133,-12.1201,-76.9767,Santiago de Surco,walking,valle,2026-09-01T13:00:00-05:00,1,13,7.269,87.66,ok,5.807,10.9,1,7.466,89.58,89.58,89.58,0.0,ok
"-12.0961,-77.0264|-12.1436,-77.012|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1342,1342,-12.1436,-77.012,Santiago de Surco,cycling,valle,2026-09-01T13:00:00-05:00,1,13,6.162,27.77,ok,5.807,11.315,1,6.334,19.77,19.77,19.77,0.0,ok
"-12.0961,-77.0264|-12.1436,-77.012|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1342,1342,-12.1436,-77.012,Santiago de Surco,walking,valle,2026-09-01T13:00:00-05:00,1,13,6.018,72.58,ok,5.807,11.315,1,5.994,71.93,71.93,71.93,0.0,ok
"-12.0961,-77.0264|-12.0934,-77.067|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,20,20,-12.0934,-77.067,Magdalena del Mar,cycling,valle,2026-09-01T13:00:00-05:00,1,13,5.043,21.89,ok,5.807,5.851,1,4.986,16.08,16.08,16.08,0.0,ok
"-12.0961,-77.0264|-12.0934,-77.067|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,20,20,-12.0934,-77.067,Magdalena del Mar,walking,valle,2026-09-01T13:00:00-05:00,1,13,4.943,59.78,ok,5.807,5.851,1,4.948,59.37,59.37,59.37,0.0,ok
"-12.0961,-77.0264|-12.0756,-77.0546|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1152,1152,-12.0756,-77.0546,Pueblo Libre,cycling,valle,2026-09-01T13:00:00-05:00,1,13,5.166,23.01,ok,5.807,3.491,0,5.188,16.52,16.52,16.52,0.0,ok
"-12.0961,-77.0264|-12.0756,-77.0546|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1152,1152,-12.0756,-77.0546,Pueblo Libre,walking,valle,2026-09-01T13:00:00-05:00,1,13,4.738,57.13,ok,5.807,3.491,0,4.828,57.93,57.93,57.93,0.0,ok
"-12.0961,-77.0264|-12.0778,-77.0691|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,376,376;400;415,-12.0778,-77.0691,Pueblo Libre,cycling,valle,2026-09-01T13:00:00-05:00,1,13,6.163,26.58,ok,5.807,4.513,0,6.166,19.1,19.1,19.1,0.0,ok
"-12.0961,-77.0264|-12.0778,-77.0691|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,376,376;400;415,-12.0778,-77.0691,Pueblo Libre,walking,valle,2026-09-01T13:00:00-05:00,1,13,5.983,72.23,ok,5.807,4.513,0,6.003,72.03,72.03,72.03,0.0,ok
"-12.0961,-77.0264|-12.0668,-77.0672|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,68,68,-12.0668,-77.0672,Pueblo Libre,cycling,valle,2026-09-01T13:00:00-05:00,1,13,7.02,31.76,ok,5.807,3.491,0,7.054,22.37,22.37,22.37,0.0,ok
"-12.0961,-77.0264|-12.0668,-77.0672|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,68,68,-12.0668,-77.0672,Pueblo Libre,walking,valle,2026-09-01T13:00:00-05:00,1,13,6.62,79.77,ok,5.807,3.491,0,6.769,81.23,81.23,81.23,0.0,ok
"-12.0961,-77.0264|-12.1241,-77.0257|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,916,916,-12.1241,-77.0257,Miraflores,cycling,valle,2026-09-01T13:00:00-05:00,1,13,3.389,15.75,ok,5.807,8.838,1,3.385,10.97,10.97,10.97,0.0,ok
"-12.0961,-77.0264|-12.1241,-77.0257|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,916,916,-12.1241,-77.0257,Miraflores,walking,valle,2026-09-01T13:00:00-05:00,1,13,3.31,39.96,ok,5.807,8.838,1,3.305,39.65,39.65,39.65,0.0,ok
"-12.0961,-77.0264|-12.0742,-77.0459|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,4,4;25;29,-12.0742,-77.0459,Jesús María,cycling,valle,2026-09-01T13:00:00-05:00,1,13,4.499,19.97,ok,5.807,3.11,0,4.468,14.62,14.62,14.62,0.0,ok
"-12.0961,-77.0264|-12.0742,-77.0459|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,4,4;25;29,-12.0742,-77.0459,Jesús María,walking,valle,2026-09-01T13:00:00-05:00,1,13,4.14,50.14,ok,5.807,3.11,0,4.203,50.43,50.43,50.43,0.0,ok
"-12.0961,-77.0264|-12.1539,-77.0238|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,210,210,-12.1539,-77.0238,Barranco,cycling,valle,2026-09-01T13:00:00-05:00,1,13,6.887,29.64,ok,5.807,12.131,1,6.787,20.63,20.63,20.63,0.0,ok
"-12.0961,-77.0264|-12.1539,-77.0238|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,210,210,-12.1539,-77.0238,Barranco,walking,valle,2026-09-01T13:00:00-05:00,1,13,6.749,81.53,ok,5.807,12.131,1,6.732,80.78,80.78,80.78,0.0,ok
"-12.0961,-77.0264|-12.0727,-77.0455|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,450,450,-12.0727,-77.0455,Jesús María,cycling,valle,2026-09-01T13:00:00-05:00,1,13,4.587,19.31,ok,5.807,2.939,0,4.543,13.98,13.98,13.98,0.0,ok
"-12.0961,-77.0264|-12.0727,-77.0455|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,450,450,-12.0727,-77.0455,Jesús María,walking,valle,2026-09-01T13:00:00-05:00,1,13,4.173,50.51,ok,5.807,2.939,0,4.263,51.17,51.17,51.17,0.0,ok
"-12.0961,-77.0264|-12.1038,-77.0593|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1296,1296,-12.1038,-77.0593,San Isidro,cycling,valle,2026-09-01T13:00:00-05:00,1,13,4.245,18.14,ok,5.807,6.63,1,4.286,13.18,13.18,13.18,0.0,ok
"-12.0961,-77.0264|-12.1038,-77.0593|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1296,1296,-12.1038,-77.0593,San Isidro,walking,valle,2026-09-01T13:00:00-05:00,1,13,4.228,51.14,ok,5.807,6.63,1,4.226,50.72,50.72,50.72,0.0,ok
"-12.0961,-77.0264|-12.1299,-77.0238|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,547,547,-12.1299,-77.0238,Miraflores,cycling,valle,2026-09-01T13:00:00-05:00,1,13,3.925,17.11,ok,5.807,9.512,1,3.898,11.7,11.7,11.7,0.0,ok
"-12.0961,-77.0264|-12.1299,-77.0238|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,547,547,-12.1299,-77.0238,Miraflores,walking,valle,2026-09-01T13:00:00-05:00,1,13,3.943,47.69,ok,5.807,9.512,1,3.899,46.78,46.78,46.78,0.0,ok
"-12.0961,-77.0264|-12.0943,-77.0402|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,594,594,-12.0943,-77.0402,San Isidro,cycling,valle,2026-09-01T13:00:00-05:00,1,13,1.655,6.86,ok,5.807,5.334,0,1.673,5.35,5.35,5.35,0.0,ok
"-12.0961,-77.0264|-12.0943,-77.0402|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,594,594,-12.0943,-77.0402,San Isidro,walking,valle,2026-09-01T13:00:00-05:00,1,13,1.671,20.25,ok,5.807,5.334,0,1.673,20.08,20.08,20.08,0.0,ok
"-12.0961,-77.0264|-12.1271,-77.0189|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,313,313,-12.1271,-77.0189,Miraflores,cycling,valle,2026-09-01T13:00:00-05:00,1,13,4.061,17.8,ok,5.807,9.342,1,4.039,12.35,12.35,12.35,0.0,ok
