vivienda_id,precio_alquiler,area_m2,presupuesto_usuario,modo_transporte,distancia_km_simulada,tiempo_viaje_min,source_ruta,afinidad_score
42,3709.0,107.0,1200,Bicicleta,1231.38,1078,osrm,0
44,3777.0,62.0,1200,Bicicleta,14.46,21,osrm,3
46,2600.0,52.0,1200,Bicicleta,7.75,11,osrm,37
47,4400.0,84.0,1200,Bicicleta,1231.38,1078,osrm,0
48,6900.0,130.0,1200,Bicicleta,1231.38,1078,osrm,0
49,2333.0,55.0,1200,Bicicleta,12.5,16,osrm,8
50,4500.0,74.0,1200,Bicicleta,1231.38,1078,osrm,0
51,5500.0,160.0,1200,Bicicleta,1231.38,1078,osrm,0
52,1600.0,84.0,1200,Bicicleta,23.5,28,osrm,0
53,3500.0,92.0,1200,Bicicleta,1231.38,1078,osrm,0
54,4836.0,94.0,1200,Bicicleta,11.72,15,osrm,40
56,3380.0,69.0,1200,Bicicleta,1231.38,1078,osrm,0
58,8700.0,333.0,1200,Bicicleta,1231.38,1078,osrm,0
59,3700.0,118.0,1200,Bicicleta,1231.38,1078,osrm,0
60,3280.0,78.0,1200,Bicicleta,1231.38,1078,osrm,0
61,2760.0,58.0,1200,Bicicleta,1231.38,1078,osrm,0
62,4400.0,190.0,1200,Bicicleta,1231.38,1078,osrm,0
63,4300.0,93.0,1200,Bicicleta,1231.38,1078,osrm,0
64,3000.0,78.0,1200,Bicicleta,1231.38,1078,osrm,0
65,2700.0,75.0,1200,Bicicleta,10.26,14,osrm,44
66,4617.0,146.0,1200,Bicicleta,10.08,16,osrm,7
67,3000.0,79.0,1200,Bicicleta,14.28,20,osrm,0
68,2300.0,59.0,1200,Bicicleta,10.92,15,osrm,49
69,2243.0,75.0,1200,Bicicleta,1231.38,1078,osrm,0
70,3990.0,68.0,1200,Bicicleta,1231.38,1078,osrm,0
71,3800.0,69.0,1200,Bicicleta,1231.38,1078,osrm,0
72,2200.0,69.0,1200,Bicicleta,11.26,16,osrm,2
73,3200.0,84.0,1200,Bicicleta,1231.38,1078,osrm,0
75,3350.0,70.0,1200,Bicicleta,1231.38,1078,osrm,0
77,5175.0,135.0,1200,Bicicleta,1231.38,1078,osrm,0
78,5040.0,180.0,1200,Bicicleta,1231.38,1078,osrm,0
79,2510.0,45.0,1200,Bicicleta,12.5,16,osrm,0
80,9400.0,203.0,1200,Bicicleta,1231.38,1078,osrm,0
81,3190.0,63.0,1200,Bicicleta,1231.38,1078,osrm,0
82,3480.0,64.0,1200,Bicicleta,1231.38,1078,osrm,0
83,2780.0,53.0,1200,Bicicleta,1231.38,1078,osrm,0
84,2700.0,43.0,1200,Bicicleta,10.61,17,osrm,0
85,3855.0,76.0,1200,Bicicleta,1231.38,1078,osrm,0
87,6210.0,180.0,1200,Bicicleta,1231.38,1078,osrm,0
88,2800.0,80.0,1200,Bicicleta,1231.38,1078,osrm,0
89,4685.0,100.0,1200,Bicicleta,1231.38,1078,osrm,0
90,2600.0,55.0,1200,Bicicleta,11.0,16,osrm,0
91,6170.0,168.0,1200,Bicicleta,1231.38,1078,osrm,0
92,4140.0,106.0,1200,Bicicleta,1231.38,1078,osrm,0
93,3100.0,85.0,1200,Bicicleta,14.6,21,osrm,0
94,3700.0,92.0,1200,Bicicleta,1231.38,1078,osrm,0
95,7370.0,220.0,1200,Bicicleta,6.42,9,osrm,32
97,9800.0,172.0,1200,Bicicleta,1231.38,1078,osrm,0
98,2400.0,69.0,1200,Bicicleta,1231.38,1078,osrm,0
99,3000.0,100.0,1200,Bicicleta,11.69,17,osrm,0
100,4650.0,100.0,1200,Bicicleta,13.33,18,osrm,7
101,8500.0,200.0,1200,Bicicleta,1231.38,1078,osrm,0
103,5160.0,135.0,1200,Bicicleta,1231.38,1078,osrm,0
104,5780.0,125.0,1200,Bicicleta,11.71,15,osrm,44
105,3790.0,100.0,1200,Bicicleta,1231.38,1078,osrm,0
106,2900.0,71.0,1200,Bicicleta,10.08,14,osrm,50
107,6800.0,154.0,1200,Bicicleta,1231.38,1078,osrm,0
108,4380.0,86.0,1200,Bicicleta,1231.38,1078,osrm,0
109,2530.0,48.0,1200,Bicicleta,11.17,16,osrm,0
110,2360.0,42.0,1200,Bicicleta,10.68,17,osrm,0
112,2900.0,65.0,1200,Bicicleta,1231.38,1078,osrm,0
113,2900.0,69.0,1200,Bicicleta,14.37,21,osrm,1
114,2177.0,40.0,1200,Bicicleta,12.68,16,osrm,2
115,9045.0,316.0,1200,Bicicleta,1231.38,1078,osrm,0
116,2800.0,71.0,1200,Bicicleta,7.46,11,osrm,44
117,3230.0,58.0,1200,Bicicleta,12.7,17,osrm,6
118,7480.0,200.0,1200,Bicicleta,1231.38,1078,osrm,0
122,2400.0,62.0,1200,Bicicleta,12.93,21,osrm,5
123,3200.0,79.0,1200,Bicicleta,13.87,19,osrm,8
124,7400.0,208.0,1200,Bicicleta,11.94,17,osrm,0
125,1700.0,70.0,1200,Bicicleta,13.32,18,osrm,0
126,2600.0,70.0,1200,Bicicleta,13.43,19,osrm,7
127,3777.0,62.0,1200,Bicicleta,11.69,17,osrm,0
128,2057.0,52.0,1200,Bicicleta,11.45,16,osrm,0
129,3000.0,98.0,1200,Bicicleta,13.7,19,osrm,0
130,2200.0,76.0,1200,Bicicleta,13.61,19,osrm,0
131,900.0,54.0,1200,Bicicleta,16.33,27,osrm,51
132,3100.0,64.0,1200,Bicicleta,7.01,11,osrm,48
133,2200.0,55.0,1200,Bicicleta,16.28,23,osrm,0
134,1800.0,61.0,1200,Bicicleta,31.97,41,osrm,0
135,3100.0,67.0,1200,Bicicleta,11.09,15,osrm,32
136,3100.0,63.0,1200,Bicicleta,11.5,16,osrm,4
137,1300.0,31.0,1200,Bicicleta,13.52,19,osrm,0
138,3000.0,114.0,1200,Bicicleta,6.29,9,osrm,31
139,2350.0,60.0,1200,Bicicleta,13.66,19,osrm,8
140,2750.0,46.0,1200,Bicicleta,11.35,16,osrm,7
141,3550.0,124.0,1200,Bicicleta,7.4,10,osrm,41
142,7480.0,300.0,1200,Bicicleta,5.01,8,osrm,32
143,3850.0,60.0,1200,Bicicleta,11.29,17,osrm,0
144,4000.0,100.0,1200,Bicicleta,1231.38,1078,osrm,0
145,4450.0,150.0,1200,Bicicleta,6.01,9,osrm,43
146,7000.0,265.0,1200,Bicicleta,10.19,16,osrm,9
147,2400.0,82.0,1200,Bicicleta,15.28,22,osrm,2
149,3850.0,45.0,1200,Bicicleta,10.71,15,osrm,50
150,4500.0,60.0,1200,Bicicleta,11.68,16,osrm,0
151,999.0,18.0,1200,Bicicleta,7.42,12,osrm,92
152,1200.0,60.0,1200,Bicicleta,23.19,28,osrm,33
153,2450.0,70.0,1200,Bicicleta,16.28,23,osrm,0
154,1850.0,74.0,1200,Bicicleta,15.96,23,osrm,0
155,1700.0,41.0,1200,Bicicleta,15.87,22,osrm,0
156,2800.0,60.0,1200,Bicicleta,10.48,16,osrm,10
157,2500.0,48.0,1200,Bicicleta,11.08,15,osrm,35
158,2300.0,40.0,1200,Bicicleta,11.36,16,osrm,5
159,3852.0,130.0,1200,Bicicleta,5.79,9,osrm,40
160,2750.0,45.0,1200,Bicicleta,10.52,17,osrm,4
161,2650.0,60.0,1200,Bicicleta,11.28,16,osrm,0
162,3500.0,60.0,1200,Bicicleta,10.03,15,osrm,48
163,4300.0,210.0,1200,Bicicleta,5.97,9,osrm,35
164,3325.0,46.0,1200,Bicicleta,11.38,16,osrm,0
165,4200.0,86.0,1200,Bicicleta,10.99,16,osrm,6
166,9760.0,300.0,1200,Bicicleta,11.32,16,osrm,0
167,5650.0,216.0,1200,Bicicleta,10.08,15,osrm,37
168,6960.0,172.0,1200,Bicicleta,6.39,10,osrm,34
171,3660.0,73.0,1200,Bicicleta,11.62,16,osrm,0
172,2800.0,67.0,1200,Bicicleta,11.32,16,osrm,0
173,2700.0,66.0,1200,Bicicleta,13.15,18,osrm,8
174,2098.0,60.0,1200,Bicicleta,15.9,22,osrm,7
175,6840.0,275.0,1200,Bicicleta,6.87,11,osrm,47
176,3750.0,117.0,1200,Bicicleta,10.33,16,osrm,1
177,2300.0,61.0,1200,Bicicleta,13.65,19,osrm,3
178,2700.0,45.0,1200,Bicicleta,11.3,17,osrm,6
180,2800.0,89.0,1200,Bicicleta,13.5,18,osrm,3
181,3400.0,81.0,1200,Bicicleta,10.78,17,osrm,10
183,6840.0,198.0,1200,Bicicleta,11.11,16,osrm,4
184,8500.0,262.0,1200,Bicicleta,6.71,11,osrm,36
185,2590.0,42.0,1200,Bicicleta,10.5,16,osrm,0
186,2200.0,56.0,1200,Bicicleta,15.74,22,osrm,0
188,3400.0,60.0,1200,Bicicleta,10.02,15,osrm,49
190,2500.0,45.0,1200,Bicicleta,11.16,15,osrm,45
192,6420.0,205.0,1200,Bicicleta,6.17,9,osrm,34
193,3230.0,62.0,1200,Bicicleta,10.23,16,osrm,10
195,5100.0,150.0,1200,Bicicleta,10.5,14,osrm,33
196,3905.0,143.0,1200,Bicicleta,15.28,23,osrm,0
197,2200.0,120.0,1200,Bicicleta,6.93,10,osrm,31
199,2800.0,96.0,1200,Bicicleta,7.83,11,osrm,46
200,2650.0,80.0,1200,Bicicleta,7.81,11,osrm,45
201,4930.0,123.0,1200,Bicicleta,1231.38,1078,osrm,0
202,2900.0,95.0,1200,Bicicleta,11.21,16,osrm,2
203,2950.0,46.0,1200,Bicicleta,11.68,16,osrm,7
204,4590.0,100.0,1200,Bicicleta,10.27,15,osrm,35
205,2500.0,85.0,1200,Bicicleta,7.1,11,osrm,32
207,3000.0,78.0,1200,Bicicleta,1231.38,1078,osrm,0
208,4446.0,117.0,1200,Bicicleta,10.88,15,osrm,36
209,5568.0,131.0,1200,Bicicleta,11.17,16,osrm,3
210,5500.0,200.0,1200,Bicicleta,28.89,34,osrm,0
211,3800.0,80.0,1200,Bicicleta,22.31,28,osrm,6
212,3910.0,100.0,1200,Bicicleta,5.87,9,osrm,48
213,4389.0,120.0,1200,Bicicleta,1231.38,1078,osrm,0
214,3200.0,73.0,1200,Bicicleta,9.4,14,osrm,41
215,2700.0,130.0,1200,Bicicleta,6.92,10,osrm,39
216,3600.0,63.0,1200,Bicicleta,11.15,16,osrm,7
218,3481.0,127.0,1200,Bicicleta,5.12,8,osrm,31
219,4050.0,120.0,1200,Bicicleta,11.49,16,osrm,6
220,2300.0,84.0,1200,Bicicleta,6.01,9,osrm,46
221,6300.0,280.0,1200,Bicicleta,10.58,16,osrm,0
222,8625.0,161.0,1200,Bicicleta,11.58,16,osrm,0
223,4650.0,92.0,1200,Bicicleta,7.13,11,osrm,40
224,4150.0,115.0,1200,Bicicleta,7.22,11,osrm,40
225,8510.0,280.0,1200,Bicicleta,7.31,10,osrm,46
227,6000.0,143.0,1200,Bicicleta,10.24,16,osrm,0
228,3276.0,130.0,1200,Bicicleta,6.09,9,osrm,38
230,9716.0,405.0,1200,Bicicleta,6.56,10,osrm,50
231,3500.0,131.0,1200,Bicicleta,5.42,9,osrm,37
232,3000.0,100.0,1200,Bicicleta,7.3,11,osrm,47
233,2000.0,84.0,1200,Bicicleta,16.52,24,osrm,5
234,1750.0,40.0,1200,Bicicleta,5.87,9,osrm,33
235,2200.0,42.0,1200,Bicicleta,12.73,17,osrm,5
236,1800.0,48.0,1200,Bicicleta,12.95,21,osrm,0
237,3100.0,120.0,1200,Bicicleta,1231.38,1078,osrm,0
238,8500.0,180.0,1200,Bicicleta,1231.38,1078,osrm,0
239,3502.0,81.0,1200,Bicicleta,10.25,16,osrm,0
241,3000.0,60.0,1200,Bicicleta,1231.38,1078,osrm,0
242,4342.0,110.0,1200,Bicicleta,1231.38,1078,osrm,0
244,4500.0,2500.0,1200,Bicicleta,10.27,14,osrm,43
245,1250.0,38.0,1200,Bicicleta,4.98,8,osrm,42
246,3430.0,60.0,1200,Bicicleta,1231.38,1078,osrm,0
248,2200.0,70.0,1200,Bicicleta,16.38,23,osrm,0
249,1500.0,153.0,1200,Bicicleta,28.77,37,osrm,4
250,4500.0,2000.0,1200,Bicicleta,5.33,8,osrm,44
251,5900.0,5000.0,1200,Bicicleta,20.45,28,osrm,4
252,3900.0,1012.0,1200,Bicicleta,32.28,40,osrm,0
253,3000.0,1012.0,1200,Bicicleta,20.45,28,osrm,0
254,2200.0,1012.0,1200,Bicicleta,10.65,15,osrm,46
255,6300.0,5000.0,1200,Bicicleta,21.14,25,osrm,0
256,2900.0,3000.0,1200,Bicicleta,25.34,39,osrm,5
257,1500.0,65.0,1200,Bicicleta,12.98,21,osrm,9
258,1800.0,72.0,1200,Bicicleta,16.63,22,osrm,0
259,2300.0,60.0,1200,Bicicleta,16.26,23,osrm,0
260,2600.0,61.0,1200,Bicicleta,1231.38,1078,osrm,0
261,5250.0,110.0,1200,Bicicleta,13.19,17,osrm,0
262,1980.0,41.0,1200,Bicicleta,12.8,17,osrm,8
263,3200.0,105.0,1200,Bicicleta,11.31,16,osrm,0
264,4100.0,120.0,1200,Bicicleta,1231.38,1078,osrm,0
265,4718.0,120.0,1200,Bicicleta,1231.38,1078,osrm,0
266,4250.0,73.0,1200,Bicicleta,1231.38,1078,osrm,0
267,2950.0,64.0,1200,Bicicleta,13.88,18,osrm,4
268,3000.0,75.0,1200,Bicicleta,10.43,14,osrm,36
269,3450.0,80.0,1200,Bicicleta,1231.38,1078,osrm,0
270,2500.0,43.0,1200,Bicicleta,11.69,17,osrm,4
271,2800.0,60.0,1200,Bicicleta,14.62,21,osrm,7
272,4800.0,145.0,1200,Bicicleta,1231.38,1078,osrm,0
273,3450.0,91.0,1200,Bicicleta,1231.38,1078,osrm,0
274,2800.0,89.0,1200,Bicicleta,12.84,17,osrm,8
275,2300.0,72.0,1200,Bicicleta,1231.38,1078,osrm,0
276,2500.0,75.0,1200,Bicicleta,11.07,16,osrm,3
277,1750.0,90.0,1200,Bicicleta,6.97,10,osrm,49
278,3260.0,64.0,1200,Bicicleta,1231.38,1078,osrm,0
279,4040.0,104.0,1200,Bicicleta,1231.38,1078,osrm,0
280,4875.0,115.0,1200,Bicicleta,1231.38,1078,osrm,0
281,4100.0,95.0,1200,Bicicleta,1231.38,1078,osrm,0
282,3000.0,120.0,1200,Bicicleta,5.96,14,osrm,43
283,3259.0,87.0,1200,Bicicleta,1231.38,1078,osrm,0
284,2932.0,70.0,1200,Bicicleta,14.72,21,osrm,0
285,1800.0,75.0,1200,Bicicleta,10.12,14,osrm,39
286,1350.0,55.0,1200,Bicicleta,20.01,29,osrm,1
287,2700.0,70.0,1200,Bicicleta,1231.38,1078,osrm,0
288,4381.0,130.0,1200,Bicicleta,14.63,21,osrm,10
289,3880.0,120.0,1200,Bicicleta,11.05,16,osrm,9
290,2970.0,55.0,1200,Bicicleta,1231.38,1078,osrm,0
291,4300.0,90.0,1200,Bicicleta,1231.38,1078,osrm,0
292,2150.0,0.0,1200,Bicicleta,10.64,15,osrm,44
293,4100.0,130.0,1200,Bicicleta,1231.38,1078,osrm,0
294,2990.0,75.0,1200,Bicicleta,11.21,16,osrm,5
295,2100.0,90.0,1200,Bicicleta,14.72,21,osrm,9
296,2500.0,90.0,1200,Bicicleta,10.86,15,osrm,39
297,7610.0,147.0,1200,Bicicleta,1231.38,1078,osrm,0
298,2300.0,47.0,1200,Bicicleta,11.16,16,osrm,0
299,3500.0,86.0,1200,Bicicleta,10.34,14,osrm,44
300,2659.0,52.0,1200,Bicicleta,1231.38,1078,osrm,0
301,2300.0,70.0,1200,Bicicleta,6.93,10,osrm,48
302,3538.0,70.0,1200,Bicicleta,1231.38,1078,osrm,0
303,4300.0,62.0,1200,Bicicleta,1231.38,1078,osrm,0
304,2639.0,52.0,1200,Bicicleta,1231.38,1078,osrm,0
305,3240.0,61.0,1200,Bicicleta,1231.38,1078,osrm,0
306,2350.0,46.0,1200,Bicicleta,14.46,21,osrm,2
307,4450.0,130.0,1200,Bicicleta,1231.38,1078,osrm,0
308,5527.0,200.0,1200,Bicicleta,1231.38,1078,osrm,0
309,2500.0,51.0,1200,Bicicleta,11.68,15,osrm,39
310,4200.0,77.0,1200,Bicicleta,1231.38,1078,osrm,0
311,2000.0,60.0,1200,Bicicleta,7.16,11,osrm,43
312,4800.0,120.0,1200,Bicicleta,12.32,15,osrm,40
313,2300.0,60.0,1200,Bicicleta,13.07,17,osrm,0
314,3690.0,80.0,1200,Bicicleta,1231.38,1078,osrm,0
315,2271.0,42.0,1200,Bicicleta,12.45,16,osrm,6
316,2900.0,70.0,1200,Bicicleta,1231.38,1078,osrm,0
317,2999.0,75.0,1200,Bicicleta,10.43,15,osrm,42
318,1850.0,45.0,1200,Bicicleta,11.78,15,osrm,49
319,3400.0,75.0,1200,Bicicleta,10.51,15,osrm,35
320,2400.0,64.0,1200,Bicicleta,10.73,17,osrm,0
321,2000.0,60.0,1200,Bicicleta,10.35,17,osrm,6
322,3500.0,88.0,1200,Bicicleta,1231.38,1078,osrm,0
323,3500.0,88.0,1200,Bicicleta,12.84,17,osrm,0
324,2300.0,52.0,1200,Bicicleta,10.08,14,osrm,31
325,4250.0,100.0,1200,Bicicleta,1231.38,1078,osrm,0
326,3700.0,76.0,1200,Bicicleta,1231.38,1078,osrm,0
327,2450.0,70.0,1200,Bicicleta,14.56,20,osrm,5
328,4650.0,100.0,1200,Bicicleta,1231.38,1078,osrm,0
329,2400.0,47.0,1200,Bicicleta,13.35,18,osrm,0
330,2400.0,50.0,1200,Bicicleta,14.5,21,osrm,0
332,2200.0,43.0,1200,Bicicleta,12.68,16,osrm,0
333,3150.0,98.0,1200,Bicicleta,1231.38,1078,osrm,0
334,3258.0,100.0,1200,Bicicleta,1231.38,1078,osrm,0
335,3500.0,97.0,1200,Bicicleta,1231.38,1078,osrm,0
336,6174.0,140.0,1200,Bicicleta,1231.38,1078,osrm,0
337,2776.0,41.0,1200,Bicicleta,1231.38,1078,osrm,0
338,4300.0,128.0,1200,Bicicleta,1231.38,1078,osrm,0
339,1500.0,120.0,1200,Bicicleta,24.37,29,osrm,0
340,2770.0,55.0,1200,Bicicleta,1231.38,1078,osrm,0
341,2550.0,40.0,1200,Bicicleta,13.22,17,osrm,0
342,2890.0,60.0,1200,Bicicleta,1231.38,1078,osrm,0
343,3500.0,84.0,1200,Bicicleta,1231.38,1078,osrm,0
344,2420.0,60.0,1200,Bicicleta,1231.38,1078,osrm,0
345,3700.0,80.0,1200,Bicicleta,7.18,10,osrm,37
346,5175.0,120.0,1200,Bicicleta,1231.38,1078,osrm,0
347,1700.0,60.0,1200,Bicicleta,11.2,16,osrm,0
348,1700.0,60.0,1200,Bicicleta,11.05,16,osrm,0
349,8000.0,305.0,1200,Bicicleta,1231.38,1078,osrm,0
350,3500.0,74.0,1200,Bicicleta,11.12,18,osrm,0
351,2300.0,70.0,1200,Bicicleta,13.27,17,osrm,10
353,2300.0,60.0,1200,Bicicleta,10.64,17,osrm,0
354,2500.0,78.0,1200,Bicicleta,1231.38,1078,osrm,0
355,5190.0,140.0,1200,Bicicleta,12.13,16,osrm,1
356,2933.0,110.0,1200,Bicicleta,1231.38,1078,osrm,0
357,3400.0,90.0,1200,Bicicleta,11.17,18,osrm,0
358,2500.0,49.0,1200,Bicicleta,10.5,15,osrm,34
359,2750.0,61.0,1200,Bicicleta,14.37,21,osrm,5
360,5160.0,102.0,1200,Bicicleta,1231.38,1078,osrm,0
361,2900.0,52.0,1200,Bicicleta,1231.38,1078,osrm,0
362,2250.0,65.0,1200,Bicicleta,1231.38,1078,osrm,0
364,2900.0,60.0,1200,Bicicleta,1231.38,1078,osrm,0
365,3100.0,65.0,1200,Bicicleta,8.86,14,osrm,34
366,2400.0,55.0,1200,Bicicleta,7.78,11,osrm,33
367,3800.0,64.0,1200,Bicicleta,12.17,16,osrm,4
368,4140.0,86.0,1200,Bicicleta,1231.38,1078,osrm,0
369,2800.0,61.0,1200,Bicicleta,10.47,16,osrm,3
370,3500.0,81.0,1200,Bicicleta,1231.38,1078,osrm,0
371,2000.0,78.0,1200,Bicicleta,14.42,20,osrm,0
372,4020.0,103.0,1200,Bicicleta,1231.38,1078,osrm,0
373,6120.0,135.0,1200,Bicicleta,1231.38,1078,osrm,0
375,3315.0,70.0,1200,Bicicleta,15.15,22,osrm,0
376,2200.0,48.0,1200,Bicicleta,13.01,17,osrm,4
377,2600.0,60.0,1200,Bicicleta,10.63,17,osrm,2
378,3600.0,87.0,1200,Bicicleta,1231.38,1078,osrm,0
379,2700.0,70.0,1200,Bicicleta,1231.38,1078,osrm,0
380,7550.0,200.0,1200,Bicicleta,1231.38,1078,osrm,0
381,3500.0,138.0,1200,Bicicleta,1231.38,1078,osrm,0
382,8395.0,200.0,1200,Bicicleta,1231.38,1078,osrm,0
383,2970.0,73.0,1200,Bicicleta,10.24,14,osrm,45
384,3000.0,92.0,1200,Bicicleta,14.23,20,osrm,0
385,2620.0,80.0,1200,Bicicleta,11.29,19,osrm,0
387,2250.0,42.0,1200,Bicicleta,12.77,17,osrm,5
388,2898.0,70.0,1200,Bicicleta,7.17,11,osrm,47
389,9000.0,130.0,1200,Bicicleta,1231.38,1078,osrm,0
390,2300.0,93.0,1200,Bicicleta,7.32,11,osrm,31
391,2500.0,79.0,1200,Bicicleta,9.64,16,osrm,0
392,9436.0,233.0,1200,Bicicleta,13.94,19,osrm,7
394,2400.0,52.0,1200,Bicicleta,1231.38,1078,osrm,0
397,2900.0,55.0,1200,Bicicleta,1231.38,1078,osrm,0
398,4020.0,131.0,1200,Bicicleta,10.8,17,osrm,0
400,3000.0,75.0,1200,Bicicleta,1231.38,1078,osrm,0
401,2900.0,80.0,1200,Bicicleta,1231.38,1078,osrm,0
402,6800.0,182.0,1200,Bicicleta,1231.38,1078,osrm,0
403,8027.0,207.0,1200,Bicicleta,10.71,17,osrm,0
405,4500.0,2500.0,1200,Bicicleta,20.79,31,osrm,0
406,3050.0,52.0,1200,Bicicleta,1231.38,1078,osrm,0
407,2600.0,48.0,1200,Bicicleta,1231.38,1078,osrm,0
408,3385.0,65.0,1200,Bicicleta,1231.38,1078,osrm,0
409,2995.0,75.0,1200,Bicicleta,1231.38,1078,osrm,0
410,7875.0,160.0,1200,Bicicleta,7.29,11,osrm,32
411,2600.0,90.0,1200,Bicicleta,14.53,21,osrm,0
412,3780.0,60.0,1200,Bicicleta,11.16,15,osrm,32
414,1790.0,74.0,1200,Bicicleta,6.01,9,osrm,47
415,5075.0,154.0,1200,Bicicleta,10.47,16,osrm,0
416,6120.0,100.0,1200,Bicicleta,11.66,16,osrm,0
417,2950.0,85.0,1200,Bicicleta,13.53,20,osrm,2
418,3200.0,121.0,1200,Bicicleta,11.35,16,osrm,0
419,7200.0,388.0,1200,Bicicleta,11.58,16,osrm,10
420,3360.0,50.0,1200,Bicicleta,10.89,16,osrm,0
421,3500.0,160.0,1200,Bicicleta,1231.38,1078,osrm,0
422,3400.0,80.0,1200,Bicicleta,12.83,18,osrm,0
423,2700.0,63.0,1200,Bicicleta,13.63,19,osrm,2
424,1700.0,70.0,1200,Bicicleta,14.09,18,osrm,0
425,3500.0,97.0,1200,Bicicleta,10.18,16,osrm,0
426,3450.0,144.0,1200,Bicicleta,21.89,27,osrm,0
427,1850.0,41.0,1200,Bicicleta,11.61,16,osrm,4
428,4231.0,62.0,1200,Bicicleta,10.39,16,osrm,5
429,2600.0,45.0,1200,Bicicleta,11.36,17,osrm,0
430,2950.0,140.0,1200,Bicicleta,16.49,23,osrm,9
431,2500.0,89.0,1200,Bicicleta,16.4,23,osrm,4
432,2600.0,118.0,1200,Bicicleta,6.01,9,osrm,41
433,2500.0,102.0,1200,Bicicleta,6.57,10,osrm,44
434,5250.0,63.0,1200,Bicicleta,11.81,17,osrm,9
435,2200.0,46.0,1200,Bicicleta,10.86,16,osrm,0
436,3000.0,84.0,1200,Bicicleta,13.02,18,osrm,0
437,3750.0,100.0,1200,Bicicleta,6.03,9,osrm,33
438,3350.0,135.0,1200,Bicicleta,15.82,23,osrm,0
439,7980.0,151.0,1200,Bicicleta,10.92,15,osrm,48
440,3150.0,93.0,1200,Bicicleta,14.07,20,osrm,0
442,2500.0,110.0,1200,Bicicleta,15.72,23,osrm,6
443,2933.0,63.0,1200,Bicicleta,11.55,16,osrm,4
444,1600.0,68.0,1200,Bicicleta,4.41,8,osrm,41
445,2100.0,65.0,1200,Bicicleta,14.25,20,osrm,0
446,2700.0,45.0,1200,Bicicleta,10.71,15,osrm,44
447,2750.0,80.0,1200,Bicicleta,22.14,27,osrm,0
448,2700.0,43.0,1200,Bicicleta,10.75,16,osrm,1
449,2850.0,58.0,1200,Bicicleta,13.97,19,osrm,1
450,2850.0,58.0,1200,Bicicleta,7.47,11,osrm,39
451,8675.0,440.0,1200,Bicicleta,6.17,10,osrm,39
452,4200.0,147.0,1200,Bicicleta,6.69,11,osrm,39
453,2500.0,47.0,1200,Bicicleta,9.85,15,osrm,31
454,2058.0,45.0,1200,Bicicleta,14.64,18,osrm,8
456,1000.0,40.0,1200,Bicicleta,16.65,24,osrm,44
457,2700.0,63.0,1200,Bicicleta,7.04,10,osrm,36
458,5200.0,120.0,1200,Bicicleta,13.54,19,osrm,2
